movement_class,muscle_group,contraindication,tagged,group_size,coverage,inconsistent,examples_tagged,examples_untagged,tag_correct_for_this_movement__Y_N,coverage_correct__Y_N,missing_contraindications,reviewer_notes
(isolation),back,neck_injury,2,39,5%,,Spinal Stretch | Upper Back Stretch,Atlas Stone Trainer | Atlas Stones | Cat Stretch | Catch And Overhead Throw | Chair Lower Back Stretch | Child'S Pose | ,,,,
(isolation),back,pregnancy,3,39,8%,,Superman Hold | Prone Swimmer | Reverse Snow Angel,Atlas Stone Trainer | Atlas Stones | Cat Stretch | Catch And Overhead Throw | Chair Lower Back Stretch | Child'S Pose | ,,,,
(isolation),back,wrist_injury,2,39,5%,,London Bridges | One Handed Hang,Atlas Stone Trainer | Atlas Stones | Cat Stretch | Catch And Overhead Throw | Chair Lower Back Stretch | Child'S Pose | ,,,,
row,back,herniated_disc,3,33,9%,,Bent Over One-Arm Long Bar Row | Bent Over Two-Dumbbell Row With Palms In | Lying T-Bar Row,Alternating Kettlebell Row | Alternating Renegade Row | Bent Over Barbell Row | Bent Over Two-Arm Long Bar Row | Bent Ov,,,,
row,back,lower_back_pain,2,33,6%,,Bent Over Two-Dumbbell Row With Palms In | Lying T-Bar Row,Alternating Kettlebell Row | Alternating Renegade Row | Bent Over Barbell Row | Bent Over One-Arm Long Bar Row | Bent Ov,,,,
row,back,osteoporosis,1,33,3%,,Bent Over One-Arm Long Bar Row,Alternating Kettlebell Row | Alternating Renegade Row | Bent Over Barbell Row | Bent Over Two-Arm Long Bar Row | Bent Ov,,,,
(push_h),chest,bad_ankle,3,22,14%,,Incline Push-Up Depth Jump | Plyo Kettlebell Pushups | Plyo Push-Up,Alternating Floor Press | Clock Push-Up | Decline Push-Up | Dips - Chest Version | Extended Range One-Arm Kettlebell Flo,,,,
(push_h),chest,bad_knee,3,22,14%,,Incline Push-Up Depth Jump | Plyo Kettlebell Pushups | Plyo Push-Up,Alternating Floor Press | Clock Push-Up | Decline Push-Up | Dips - Chest Version | Extended Range One-Arm Kettlebell Flo,,,,
(push_h),chest,elbow_injury,1,22,5%,,One-Arm Kettlebell Floor Press,Alternating Floor Press | Clock Push-Up | Decline Push-Up | Dips - Chest Version | Extended Range One-Arm Kettlebell Flo,,,,
(push_h),chest,osteoporosis,3,22,14%,,Incline Push-Up Depth Jump | Plyo Kettlebell Pushups | Plyo Push-Up,Alternating Floor Press | Clock Push-Up | Decline Push-Up | Dips - Chest Version | Extended Range One-Arm Kettlebell Flo,,,,
(push_h),chest,pregnancy,3,22,14%,,Incline Push-Up Depth Jump | Plyo Kettlebell Pushups | Plyo Push-Up,Alternating Floor Press | Clock Push-Up | Decline Push-Up | Dips - Chest Version | Extended Range One-Arm Kettlebell Flo,,,,
(push_h),chest,rotator_cuff,22,22,100%,,Alternating Floor Press | Clock Push-Up | Decline Push-Up,,,,,
(push_h),chest,shoulder_injury,22,22,100%,,Alternating Floor Press | Clock Push-Up | Decline Push-Up,,,,,
(push_h),chest,wrist_injury,1,22,5%,,One-Arm Kettlebell Floor Press,Alternating Floor Press | Clock Push-Up | Decline Push-Up | Dips - Chest Version | Extended Range One-Arm Kettlebell Flo,,,,
overhead_press,shoulders,rotator_cuff,22,22,100%,,Alternating Cable Shoulder Press | Arnold Dumbbell Press | Barbell Shoulder Press,,,,,
